,State,Senator,Official Twitter,Staff Twitter,Campaign Twitter,Twitter_Page
74,Oregon,"Merkley, Jeff",SenJeffMerkley,,JeffMerkley,https://twitter.com/SenJeffMerkley
75,Pennsylvania,"Casey, Bob",SenBobCasey,,Bob_Casey,https://twitter.com/SenBobCasey
76,Pennsylvania,"Toomey, Pat",SenToomey,,PatToomey,https://twitter.com/SenToomey
77,Rhode Island,"Reed, Jack",SenJackReed,,,https://twitter.com/SenJackReed
78,Rhode Island,"Whitehouse, Sheldon",SenWhitehouse,,SheldonforRI,https://twitter.com/SenWhitehouse
79,South Carolina,"Graham, Lindsey",GrahamBlog,LindseyGrahamSC,sengraham2016,https://twitter.com/GrahamBlog
80,South Carolina,"Scott, Tim",SenatorTimScott,,votetimscott,https://twitter.com/SenatorTimScott
81,South Dakota,"Rounds, Mike",SenatorRounds,,RoundsforSenate,https://twitter.com/SenatorRounds
82,South Dakota,"Thune, John",SenJohnThune,,johnthune,https://twitter.com/SenJohnThune
83,Tennessee,"Alexander, Lamar",SenAlexander,,LamarAlexander,https://twitter.com/SenAlexander
84,Tennessee,"Corker, Bob",BobCorker,SenBobCorker,,https://twitter.com/BobCorker
85,Texas,"Cornyn, John",JohnCornyn,,TeamCornyn,https://twitter.com/JohnCornyn
86,Texas,"Cruz, Ted",SenTedCruz,,tedcruz,https://twitter.com/SenTedCruz
87,Utah,"Hatch, Orrin",SenOrrinHatch,,OrrinHatch,https://twitter.com/SenOrrinHatch
88,Utah,"Lee, Mike",SenMikeLee,,,https://twitter.com/SenMikeLee
89,Vermont,"Leahy, Patrick",SenatorLeahy,,,https://twitter.com/SenatorLeahy
90,Vermont,"Sanders, Bernie",SenatorSanders,,,https://twitter.com/SenatorSanders
91,Virginia,"Kaine, Tim",timkaine,,,https://twitter.com/timkaine
92,Virginia,"Warner, Mark",MarkWarner,,MarkWarnerVA,https://twitter.com/MarkWarner
93,Washington,"Murray, Patty",PattyMurray,,MurrayCampaign,https://twitter.com/PattyMurray
94,Washington,"Cantwell, Maria",SenatorCantwell,,MariaCantwell,https://twitter.com/SenatorCantwell
95,West Virginia,"Capito, Shelley Moore",SenCapito,,CapitoforWV,https://twitter.com/SenCapito
96,West Virginia,"Manchin, Joe",Sen_JoeManchin,,JoeManchinWV,https://twitter.com/Sen_JoeManchin
97,Wisconsin,"Baldwin, Tammy",SenatorBaldwin,,tammybaldwin,https://twitter.com/SenatorBaldwin
98,Wisconsin,"Johnson, Ron",SenRonJohnson,,,https://twitter.com/SenRonJohnson
99,Wyoming,"Enzi, Mike",SenatorEnzi,,EnziforWyo,https://twitter.com/SenatorEnzi
100,Wyoming,"Barrasso, John",SenJohnBarrasso,,barrassoforwyo,https://twitter.com/SenJohnBarrasso
